Question,Answer
How many planets are there in our solar system?,8
Which is the hottest continent on Earth?,Africa
Which is the smallest continent in the world?,Australia
How many years are there in a millennium?,1000
Which country is home to the kangaroo?,Australia
Who painted the Mona Lisa?,Leonardo da Vinci
Who invented the telephone?,Alexander Graham Bell
What does the Internet prefix WWW stand for?,World Wide Web
How much of Earth’s surface is covered by ocean?,71%
Who discovered Penicillin in 1928?,Alexander Fleming
How many stars are there in the American flag?,50
What do you call a type of shape that has five sides?,Pentagon
"Which way is anti-clockwise, left or right?",Left
How many equal sides does an isosceles triangle have?,2
Which is the coldest location in the earth?,East Antarctica
Who discovered electricity?,Benjamin Franklin
Which is the most widely spoken language in the world?,Mandarin (Chinese)
Which two parts of the body continue to grow for your entire life?,Nose and Ears
The largest ‘Democracy’ in the world?,India
Who is the inventor of Television?,John Logie Baird
Which is the largest plateau in the world?,Tibetan Plateau
Which is the instrument used to measure Blood pressure?,Sphygmomanometer
What color symbolizes peace?,White
Who is the founder of Microsoft?,Bill Gates
During which year did World War I begin?,1914
How many Cricket world cups does India have?,2
Global warming is caused by the excess of which type of gas?,Carbon dioxide
How many cards are there in a complete pack of cards?,52
What is the name of the biggest rain forest in the world?,The Amazon
Which African nation is famous for chocolate?,Ghana
What makes up (approx ) 80% of our brain’s volume?,Water
Which instrument is used for measuring wind speed?,Anemometer
‘Stars and Stripes’ is the nickname of the flag of which country?,United States of America
Which language is used by the computer to process data?,Binary language
What covers approximately 71% of the Earth’s surface: Land or water?,Water
Which is the hardest substance available on earth?,Diamond
Which is the biggest desert in the world?,Sahara desert
Which country gifted The Statue of Liberty to the United States?,France
What is the name of the Greek God of music?,Apollo
What does the “SIM” in the SIM card stand for?,Subscriber Identity Module
Which is the first element on the periodic table of elements?,Hydrogen
Which is the longest written Constitution in the world?,India
What is the largest joint in the human body?,Knee
Which is the smallest bone in the human body?,Stapes (Ear bone)
Which instrument is used to measure Atmospheric Pressure?,Barometer
Which is the largest continent in the world?,Asia
Who is the inventor of the electric Bulb?,Thomas Alva Edison
On whose memory Nobel Prize is awarded?,Alfred Nobel
Who is the first woman to go to space?,Valentina Tereshkova
What is HCl?,Hydrochloric acid
What is currency of China?,Renminbi
"Chameleons have extremely long tongues, sometimes as long as their bodies. True or False?",TRUE
An ostrich’s eye is bigger than its brain. True or False?,TRUE
A sneeze is faster than the blink of an eye. True or False?,TRUE
Pigs can look up into the sky. True or False?,False (They cannot)
There are 9 planets in our Solar System. True or False?,False (Our Solar system has only 8 planets; Pluto is a dwarf planet)
Mark Zuckerburg is the father of modern computers. True or False?,False (Charles Babbage is the father of modern computers)
The egg of a Hummingbird is the smallest egg in the world. True or False?,TRUE
Frogs have to drink lots of water. True or False?,FALSE
Some animals can get sunburn. True or False?,"True (Animals like dogs, cats and cows can get sunburns at the tip of their noses and ears)."
William Shakespeare is a scientist. True or False?,False (He is a dramatist)
Whales have belly buttons. True or False?,TRUE
Sharks are color blind. True or False?,FALSE
Mumbai is the capital of India. True or False?,False (Delhi is the capital of India)
Camels store water in their humps. True or False?,TRUE
Humans have four hearts. True or False?,False (Humans have one heart with four chambers)
All tigers have yellow eyes. True or False?,TRUE
A pediatrician is a child specialist. True or False?,TRUE
Arachnophobia is the fear of dogs. True or False?,False (It is the fear of spiders)
Dodo is an endangered bird. True or False?,False (Dodo is an extinct bird)
Bhagat Singh is a Freedom fighter of India. True or False?,TRUE
Washington DC is the capital of China. True or False?,False (Beijing is the capital of China)
June 5 is celebrated as Environment Day. True or False?,TRUE
"Laika, the dog is the first animal to go to space. True or False?",TRUE
Roman Calendar is named as Julian Calendar. True or False?,TRUE
There are 12 players in a cricket team. True or False?,False (There are 11 players in a cricket team)
"Ball, Bat, Stump, Hockey stick. True or False?",Hockey stick
"Hen, Dove, Pigeon, Cat",Cat
"Hammer, Blacksmith, Carpenter, Cobbler",Hammer
"Jeep, Car, Bike, Boat",Boat
"Doctor, Surgeon, Nurse, Teacher",Teacher
"Mother, Father, Brother, Friend",Friend
"Earth, Mercury, Jupiter, Pluto",Pluto
"Cabbage, Potato, Capsicum, Tomato",Potato
"Pen, Pencil, Eraser, Ink Pen",Eraser
"Aeroplane, Helicopter, Ship, Jet",Ship
"Carrot, Mango, Banana, Apple",Carrot
"Cow, Lion, Dog, Cat",Lion
"2, 6, 7, 10",7
"P J  Abdul Kalaam, C V  Raman, Issac Newton, William Shakespeare",William Shakespeare
"Dispur, Pune, Patna, Shimla",Pune
"1, 2, 4, 5",4
"Asia, Europe, China, Australia",China
"Radio, Television, Loudspeaker, Stereo",Television
"Respiration, Digestion, Excretion, Photosynthesis",Photosynthesis
"Hydrogen, Hypochlorite, Helium, Lithium",Hypochlorite
"Noun, Pronoun, Articles, Adverb",Articles
"Throat, Tongue, Nose, Ears",Throat
"Coffee Powder, Chili Powder, Tea Powder, Green Tea Powder",Chilli Powder
"Vitamin A, Vitamin B, Vitamin D, Vitamin K",Vitamin B
"Dinosaur, Elephant, Hippopotamus, Giraffe",Dinosaur
What is the place where books are kept called? a) Zoo b) Library c) Garden d) Museum,B. Library
How many digits are there in Mathematics? a) Hundred b) Thousand c) Billion d) Infinite,D. Infinite
Who is the first Prime Minister of India? a) P.J. Abdul Kalaam b) Jawaharlal Nehru c) Indira Gandhi d) Narendra Modi,B. Jawaharlal Nehru
How many bananas will there be in a dozen banana? a) 8 b) 9 c) 10 d) 12,D.12
Who is Mickey Mouse? a) Actor b) Scientist c)  Cartoon Character d) Doctor,C. Cartoon Character
Who is the author of “God of Small Things”? a) Gabriel Garcia Marquez b) Aravind Adiga c) Arundhati Roy d) Victor Hugo,C. Arundhati Roy
What is the value of Pie? a) 14 b) 916 c) 13 d) 34,A. 3.14 (22/7)
What is the position of Earth in our Solar system? a) First b) Second c) Third d) Fourth,C. Third
Which is the biggest continent? a)Asia b) Africa c) Australia d) Europe,A. Asia
How many wonders do we have in the world? a) Six b) Seven c) Eight d) Nine,B. Seven
Who found the concept of “Gravitation” for the first time? a) Albert Einstein b) Charles Darwin c) Issac Newton d) V. Raman,C. Issac Newton
Who is the author of “Julius Caesar”? a) William Shakespeare b) Geoffrey Chaucer c) John Milton d) Sylvia Plath,A. William Shakespeare
When is UN day celebrated? a) October 21 b) June 24 c) October 24 d) June 21,C. October 24
What are constellations? a) Group of planets b) Group of galaxies c) Group of stars d) Group of meteors,C. Group of stars
Which planet is known as “The Blue Planet”? a) Mercury b) Venus c) Uranus d) Earth,D. Earth
What is the person who compiles a dictionary called? a) Lexicographer b) Editor c) Compiler d) Director,A. Lexicographer
What is the driver of a Train called? a) Pilot b) Train Driver c) Locopilot d) Captain,C. Locopilot
What is the full form of RBI? a) Reputed Bank of India b) Reserve Bank of India c) Recovery Bank of India d) Reduced Bank of India,B. Reserve Bank of India
What is the “Fear of Darkness” called? a) Nyctophobia b) Ablutophobia c) Ophidiophobia d) Arachnophobia,A. Nyctophobia
What is the capital city of Peru? a) Lima b) Rome c) Los Angeles d) Prague,A. Lima
How many states are there in India? a) 27 b) 28 c) 29 d) 30,B. 29
Who discovered Aeroplane? a) Wright Brothers b) Steve Waugh c) Albert Einstein d) Stephen Hawking,A. Wright Brothers
Which bird is the universal symbol of Peace? a) Pigeon b) Dove c) Peacock d) Pelican,B. Dove
What causes Anemia? a) By the deficiency of Iron b) By the deficiency of Iodine c) By the deficiency of Vitamin D d) By the deficiency Calcium,A. By the deficiency of Iron
Who is a “Chef”? a) A person who drives a car b) A person who cooks food c) A person who acts d) A person who treats patients,B. A person who cooks food
What is the color of the sky?,Blue
What is the job of a Doctor?,A Doctor treats sick people.
What comes after 10 and before 13?,12
Where does fish live?,In Water
What is sun?,Sun is a big ball of fire.
Who is Virat Kohli?,Indian Cricketer
How many noses do you have?,One
What is the color of Mango?,Yellow
In which planet do we live?,Earth
What is the young one of a cat called?,Kitten
How many years are there in a century?,Hundred
Which is the national game of India?,Hockey
What is the full form of TV?,Television
Solve 27*0,Zero (Any number multiplied by zero gives zero as the answer)
Which all animals give us milk?,"Cow, goat and buffalo"
What is the home of a lion called?,Den
How many days are there in a week?,Seven
Where do we deposit money?,Bank
What is the place where animals are kept called?,Zoo
What is COVID-19?,It is deadly disease spread across the world during 2019 and 2020.
What is Beri-Beri?,It is a disease caused due to the deficiency of Vitamin B
Where do we get coconut from?,We get coconut from coconut Tree
Which state in India is known as “God’s Own Country”?,Kerala
How do plants make food?,Plants make food through the process called Photosynthesis.
Which place is known as the “Land of White Elephants”?,Thailand
How many players are there in each side of a Hockey team?,11
How many players are there in each side of a Basket Ball team?,5
Commonwealth Games are held in every _ years,4 years
How many Grand Slam Tennis Tournaments are held every year?,4
"In which sports, the term HAT-TRICK is used?",Cricket
Number of players in one team of Kho Kho are,Nine
Eden Gardens cricket stadium is in –,Calcutta
Which country will host Cricket World Cup 2019 –,England
Football was introduced as a competitive game in Olympics in year –,1908
Hockey is the National sports of –,India and Pakistan
Which is the National sport of Canada?,Lacrosse/Ice hockey
_ has Cricket as its National S,Jamaica
_ is the national sport of Turkey,Wrestling
In which country Commonwealth games were held in 2010?,India
Which country has hosted Commonwealth Games for the maximum number of times?,Canada
Caddie is related to __________,Golf
In which year Olympic Games were cancelled because of World War I?,1916
Who was the winner of Football World Cup in 2010?,Spain
Where did the game of Badminton originate from?,Pune
When is national sports day of India celebrated?,Aug-22
When was women’s and men’s doubles introduced in Wimbledon?,1884
Who among the following is known as “Flying Sikh of India”,Milkha Singh
Total Olympic medals won by India in 2012,Six
The only driver in Indian Grand Prix 2011 is,Alice Powell
How many months are there in a year?,12
How many days are there in a week?,7
How many days are there in a year?,365
Which number comes after 15?,16
How many colours are there in a rainbow?,7
We use our ears to ______.,Hear
Name the day that comes after Tuesday?,Wednesday
How many vowels are there in the English alphabet?,5
A cow has ____ legs.,4
Which gas do humans need to breathe to live?,Oxygen
Which month comes after October?,November
How many zeroes are there in one thousand?,Three
How many hands do you have?,2
We chew food using our ____________.,Teeth
Which sense organ do you use to smell?,Nose
Which part of the plant is brown and below the ground?,Roots
Which part of a plant has seeds?,Fruit
Which part of a plant soaks up nutrients and water from the soil?,Root
Which bird has a far sight and turns its head all the way round?,Owl
Which animal eats mice?,20
Which animal wags its tail and lives in a kennel?,Dog
Which animal has a long nose known as trunk?,Elephant
Which animal likes honey?,Bear
Name a cunning animal?,Fox
Which animal has a long neck?,Giraffe
Which animal has black and white stripes on its body?,Zebra
Which animal gives us wool?,Sheep
February has _____ days in a leap year.,29
Which is the largest river island in Asia?,Majuli Island (Assam)
Which shape has three sides?,Triangle
How many weeks are there in a year?,52 Week
There are ____ months in a year.,12
Name the shape with five sides?,Pentagon
Home of a pig is called ______.,Sty
Name the largest island in the world?,Greenland
Which is the largest mammal on Earth?,Blue Whale
What is the name of the story where Ella leaves her glass slipper while attending the royal ball?,Cinderella
Which fairy tale character meets seven dwarfs in a cottage?,Snow White
Name the fairy tale character with long golden hair trapped in a tower?,Rapunzel
"Name the fairy tale character, who is a poor thief and has a magic lamp?",Aladdin
Which fairy tale character meets a Big Bad wolf while going to visit her grandmother in the woods?,Little Red Riding Hood
"Name the story in which a young girl falls through a rabbit hole, goes to a fantasy world and meets many strange characters?",Alice’s Adventures in Wonderland
Name the shape with seven sides?,Heptagon
Planet Earth is shaped like a __________.,Sphere
A shape with six sides is called ________.,Hexagon
A shape with ten sides is called ________.,Decagon
How many sides does an octagon have?,8
What is the color of human blood?,Red
Which colour symbolizes peace?,White
In which season do we use cotton clothes?,Summer
The colour of cow’s milk is ________.,White
What comes after 35?,36
The tusks of elephants are made of ______.,Ivory
Kangaroos have _____ to carry their young ones.,Pouches
Cheese is made from _______.,Milk
Taste of sugar is _______.,Sweet
Taste of tamarind is _______.,Sour
We wear a watch on our _______.,Wrist
What is 10+4?,14
A goat has ______ legs.,4
Earth has ____ natural satellite(s).,1
The leaves of a tree fall during which season?,Autumn
A person who goes to space is called an ________.,Astronaut
A young frog is called a _______.,Tadpole
Which colour of the traffic light indicates “wait”?,Yellow
Which is the first letter of the English alphabet?,A
Whom do we call to put out fire?,Fireman
Name the vehicle used by firemen?,Fire engine
Orange is a source of which vitamin?,Vitamin C
Humans have _____ toes.,Ten
A hen lives in a _____.,Coop
Your father’s brother is your _________.,Uncle
Which insect makes a web?,Spider
Which magic word do you use while asking for something?,Please
Which magic word do you use when someone helps you?,Thank you
Which of these is a green-colored vegetable?,C. Pea 
What is the Color of the Leaves?,B. Green
Identify the Tree,A. Coconut Tree
Who is the king of the jungle?,B. Lion
Which part of your body do you use to see?,D. Eyes
How many fingers are there in your hands?,D. Ten
Which of the following animals give us milk?,A. Cow
What is the color of sunflowers?,B. Yellow
Which animal is known as “Ship of Desert”?,C. Camel
How many legs do you have?,Two
Which animal guards our house?,Dog
Identify the bird,Peacock
What is the color of your hair?,Black
How many wheels does a cycle have?,Two
Name the four main directions?,"North, East, West, and South"
What food does a cow eat?,Grass
Which number comes after 10?,11
Which means of transport do you use in water?,Ship
How many alphabets are there in the English language?,26
Where do you go when you are sick?,Hospital
A person who teaches us is known as___________?,Teacher
Name the vowels in English.,"A,E,I,O,U"
How many sense organs do we have?,Five
What is the color of the sky?,Blue
What sound does a dog make?,Bow-Bow
Name the shape with three sides?,Triangle
What is the smallest two digit number?,10
Which shape has no sides and corners?,Circle
Which shape has all four of its sides equal?,Square
What is the largest two digit number?,99
What is the smallest even number?,2
What is the place value of 4 in 654?,Ones
4 times 8 equals ___________.,32
40+20 equals to ____________.,60
An adult human has _________ teeth.,32
Which animal gives us wool?,Sheep
What do we get when water freezes?,Ice
What is a house made of snow called?,Igloo
What kind of clothes do we wear during winter?,Woollen clothes
What are the white lines where we cross the road called?,Zebra Crossing
A lion lives in a ______.,Den
Sun rises in the ________.,East
Sun sets in the _________.,West
What does the red light of a traffic signal indicate?,20
What does green light of a traffic signal indicate?,Go
India has _____ states.,28
What does a caterpillar turn into?,Butterfly
Which Indian city is known as “Pink City”?,Jaipur
Which is the largest cat in the world?,Siberian tiger
Which animal is known as the “ship of the desert”?,Camel
Which planet do we live on?,Earth
How many players are there in a cricket team?,11
The doctor who takes care of our teeth is called ________.,Dentist
Name the bird that lays the largest eggs?,Ostrich
Our solar system has ______ planets.,8
Name the currency of Thailand?,Bhat
What is the sound made by a lion?,Roar
What is the young one of an elephant called?,Calf
A pig lives in a _____.,Sty
A year has ___ weeks.,52
How many kidneys does a human body have?,2
How many strings does a violin have?,4
A century has ____ years.,100
How many moons does Earth have?,1
Saturn has ____ moons.,82
How many colours are there in a rainbow?,7
In which country can kangaroos be found?,Australia
Name the planet in our solar system with the most number of moons?,Saturn
Earth’s atmosphere has ____ layers.,5
What are the colours of Olympic rings?,"Blue, Red, Green, Yellow and Black"
A spider has _____ legs.,Eight
Which is the smallest continent in the world?,Australia
How many days are there in a year?,365
Which month has the least number of days?,February
Which part of a plant grows under the soil?,Root
What is the currency of UK?,Pound Sterling
What is the currency of Bangladesh?,Taka
What is the currency of Pakistan?,Rupee
What is the currency of China?,Yuan
What is the currency of New Zealand?,Dollar
What is the currency of Russia?,Ruble
Tokyo is the capital of which country?,Japan
What was the real name of Lord Buddha?,Siddhartha Gautama
Oscar award is related to which field?,Film industry
How many minutes are there in an hour?,60
A triangle with all three sides equal is called _______.,Equilateral triangle
What is the capital of Philippines?,Manila
What do you call a person who makes furniture from wood?,Carpenter
Which country is known as “Gift of Nile”?,Egypt
How many years make a decade?,10
Which part of a plant is called “kitchen of the plant”?,Leaf
We smell using our _____.,Nose
Who painted Mona Lisa?,Leonardo Da Vinci
We use our ears to _______.,Hear
English alphabets have ____ consonants.,21
What is the shape of a cricket field?,Circle
How many members are there in a Water Polo team?,7
The word “Grand Slam” is associated with which sport?,Tennis
What is a group of porcupines called?,Prickle
Name a bird that can fly backwards?,Humming bird
 Who was the first Prime Minister of India?,Jawaharlal Nehru
 Which state is known as the ‘fruit bowl’ of India?,Himachal Pradesh
 What is the name of this beautiful monument?,Taj Mahal
 How many legs does a spider have?, Eight
 Name this famous Indian Cricketer.,Sachin Tendulkar
 Who is popularly known as the “Iron Man of India”?,Sardar Vallabh Bhai Patel 
 What is the sound made by a duck?,Quack quack
 The national currency of India is,Rupee
 The young one of a kangaroo is,Joey
 What is the sound made by a horse?,Neigh
 The young one of Elephant is,Calf
 Which river is infamous as the ‘Sorrow of Bengal”?,Damodar River
 _ is celebrated as the birth of Jesus Christ,Christmas
 Which is the harvest festival in Assam?,Bohag Bihu 
 Thiruvananthapuram is the capital of _.,Kerala
 Which is the national sport of India?,Hockey
 What does the heart pump?,Blood
 The longest river in India,Ganga
 Which is the national fruit of India?,Mango
 How many spokes does the wheel in Indian Flag have?,24 spokes
 Who is the first citizen of India?,President of India
 Where does a pig live?,Sty
 What is the name of this famous painting?,Mona Lisa
 How many cats can you see in this picture?,10 cats
 How do you relate to your maternal grandfather?,Mother’s father
A polygon with 5 sides is called a _________.,Pentagon
What is the young one of a kangaroo called?,Joey
What is the name of India’s highest mountain peak?,Kanchenjunga
The capital of Andaman & Nicobar Islands is ______.,Port Blair
"Which is the largest country in the world, in terms of area?",Russia
The two holes on the nose through which we breathe are called _________.,Nostrils
"In which country did the game, chess, originate?",India
The wheel in the center of Indian national flag has _____ spokes.,24
Who is the author of Harry Potter series of books?,J.K. Rowling
Who was known as “Human Computer”?,Shakuntala Devi
Name the instrument used to measure the speed of wind?,Anemometer
Name the smallest planet in our solar system?,Mercury
Any number multiplied by zero is ________.,Zero
Which is the largest four-digit number?,9999
Ganymede is the moon of which planet?,Jupiter
Who was the first person to land on the moon?,Jupiter
Who invented steam engine?,James Watt
Who was the first person to calculate the value of Pi?,Archimedes
In which country is Mount Everest situated?,Nepal
Which is the biggest coral reef in the world?,Great Barrier Reef
World’s largest rain forest is _________.,The Amazon
Which is the biggest part of the brain?,Cerebrum
_________ animals sleep during the day and stay awake at night.,Nocturnal animals
Animals that eat meat are called _________.,Carnivores
Name an insectivorous plant?,Venus Flytrap
A newborn baby has _______ bones.,300
How many millimeters make a meter?.,1000
How many millimeters make a meter?.,1000
What is an angle that has a value less than 90˚ called?,Acute angle
What is an angle that has a value greater than 90˚ called?,Obtuse angle
"When a number is multiplied by 1, the product would be ________.",The Same Number
What is the art of folding paper to create shapes called?,Origami
The flag of which country has a non-quadrilateral shape?,Nepal
The place where beehives of honeybees are kept is called?,Apiary
Which is the fastest land animal?,Cheetah
Which animal has a hump on its back?,Camel
Name a commonly found reptile?,Lizard
Which is the largest ocean in the world?,Pacific Ocean
Australia lies between which two oceans?,Indian Ocean and Pacific Ocean
Which is the coldest planet in our solar system?,Neptune
Where is food collected in the human body once it is chewed and swallowed?,Stomach
Which pigment is responsible for the green colour of leaves?,Stomach
Which Indian city is known as “Orange City”?,Nagpur
Which city is known as the “Financial Capital of India”?,Mumbai
Which country won the first T20 world cup?,India
Which planet in our solar system takes less than 10 hours to complete its one rotation?,Jupiter
Which planet is known as the “blue planet”?,Earth
Which star is closest to the Earth?,The Sun
Which is the most abundant gas found on Earth?,Nitrogen
The mixture consisting of molten rocks that flow out of a volcano during the volcanic eruption is called ________.,Lava
Earth requires ____ hours to complete one rotation.,24
What is the movement of Earth on its own axis resulting in day and night called?,Rotation
What is the movement of Earth around the Sun resulting in change of seasons called?,Revolution
The Earth is closest to the Sun during which season?,Summer
Name the galaxy our solar system is a part of?,Milky Way
Who invented video games?,Ralph Baer
Who invented postage stamp?,Rowland Hill
Which is the tallest animal in the world?,Giraffe
Which is the fastest bird in the world?,Ostrich
Which is the highest waterfall in the world?,Angel Falls
Who wrote the world famous children’s book—Jungle Book?,Rudyard Kipling
Who wrote the book “Chronicles of Narnia”?,C.S. Lewis
The book “Charlie and the Chocolate Factory” was written by _______.,Roald Dahl
Who wrote the popular children’s book “The Cat in The Hat”?,Dr. Suess
The book “The Very Hungry Caterpillar” was written by _________.,Eric Carle
How many years did the First World War (WWI) last?,Four (1914-1918)
How many years did the Second World War (WWII) last?,Six (1939-1945)
Distance between two countries is measured in __________.,Kilometers
In which country is the Eiffel Tower located?,France
Which number is neither prime nor composite?,1
5 times 20 equals to ______.,1000
How many months of a year have only 30 days?,"4 (April, June, September and November)"
An octopus has _____ hearts.,Three
The Statue of Liberty is located in which city?,"New York, USA"
Sunlight is the source of which vitamin?,Vitamin D
How many teeth does a human have?,32
On which planet do we live?,Earth
How many continents do we have?,Seven
What is the process in which plants make food known as?,Photosynthesis
How many bones do we have?,206
Name the biggest flower.,Rafflesia
The animals that eat only plants and herbs are called ____________.,Herbivores
Which country is known as the “Land of White Elephants”?,Thailand
Which is the biggest planet in our Solar System?,Jupiter
Who is the first woman to go to space?,Valentina Tereshkova
Identify the Historical monument,Charminar
Name the tallest building in the world.,"Burj Khalifa, UAE"
Who invented the Light Bulb?,Thomas Alva Edison
In how many hours does earth complete one rotation?,24 hours
Who wrote the drama “Julius Caesar”?,William Shakespeare
Which is the highest mountain peak in the world?,Mount Everest
Who is known as the father of modern computers?,Charles Babbage
Which part of the computer is its Brain?,CPU
Name the longest river on earth.,Nile
Name three vegetables that grow under soil.,"Potato, Tapioca and Ginger"
What is the value of Pi?,3.14
Which is the most widely spoken language in the world?,Mandarin (Chinese)
Identify the scientist.,Albert Einstein
How many days are there in a Leap Year?,366
Name the Largest desert in the world.,Sahara Desert
Which is the largest island in the world?,Greenland
What is the name of the sword owned by King Arthur?,Excaliber
Who is known as “Nightingale of India”?,Sarojini Naidu
Who is known as the “father of geometry”?,Euclid
Who wrote the national song of India? (Vande Mataram),Bankim Chandra Chatterjee
When is National Girl Child Day celebrated in India?,Jan-24
A leap year has _____ days.,366
Taj Mahal is situated on the banks of which river?,Yamuna
Name the largest planet in our solar system,Jupiter
Our solar system consists of _____ planets,8
_____ is known as the brain of the computer.,CPU
_____ What is the full form of CPU?,Central Processing Unit
Which part of the human body has the smallest bone?,EAR
Penicillin was invented by ________.,Alexander Fleming
Saina Nehwal is related to which sport?,Badminton
Giza Pyramids situated in which country?,Egypt
Statue of liberty is situated in which city?,New York
Which is the most sensitive organ in the human body?,Skin
Computer was invented by _______.,Charles Babbage
Which animal is known as the ship of the desert?,Camel
An octagon has _____ sides.,8
Which colour represents peace?,White
How many players are there in a cricket team?,11
Which African country is famous for chocolate?,Ghana
Olympic Games are held every ____ years.,4
Which is the largest desert in the world?,Sahara Desert
Which is the tallest waterfall in the world?,Angel Falls
Which is the biggest animal in the world?,Antarctic Blue Whale
What is another name for Table Tennis?,Ping pong
Where will the 2024 Olympics be held?,Paris
Dipa Karmakar is associated with which sport?,Gymnastics
When was the first modern Olympics held?,"1896 (in Athens, Greece)"
Where is leaning tower of Pisa located?,Italy
Where is Louvre Museum situated?,"Paris, France"
Which river is nicknamed “Sorrow of China”?,Yellow River
"Where is world’s tallest building, Burj Khalifa, located?","Dubai, UAE"
What was the name of the ISRO mission to Mars?,Mangalyaan
Who invented Java programming language?,James Gosling
Who is known as the father of C language?,Dennis Ritchie
What is the full form of bit?,Binary digit
What is the name of the supercomputer placed at Indian Institute of Tropical Meteorology (IITM)?,Pratyush
Which is the world’s fastest super computer?,Fugaku Supercomputer
Which number has no reciprocal?,1
A heptagon has _____ sides.,7
The sum of the angles of a triangle is _____.,180˚
Which blood cells in our body help to fight infections?,White Blood Cells
What is the full form of BMP?,Bit Map Picture
Monitor of a computer is an _______ device.,Output
How many oceans are there in the world?,7
In which country is Mount Everest located?,Nepal
What is the capital of Belgium?,Brussels
Who was the first President of India?,Dr Rajendra Prasad
Who invented telescope?,Galileo Galilei
Which is the smallest bird in the world?,Humming bird
Which is the largest country in terms of population?,China
Which is the largest delta in the world?,Sunderban delta (Ganges-Brahmaputra Delta)
Durand Cup is related to which sport?,Football
World Red Cross Day is celebrated on ________.,May 8th
Which country is known as the “Land of Cakes”?,Scotland
Which is the world’s largest coral reef system?,The Great Barrier Reef
Which is the biggest bird in the world?,Ostrich
The Statue of Liberty was a gift to the USA from which country?,France
The largest moon of Saturn is ________.,Titan
The term “wicket” is related to which sport?,Cricket
Name an insect with colourful wings?,Butterfly
Which state is known as the Orchid Paradise of India?,Arunachal Pradesh
Name the acid present in apple,Malic acid
Which country awards Nobel Prize?,Sweden
What is the currency of Malaysia?,Malaysian Ringgit
Measurement of right angle is ___________.,90˚
What is a triangle with two equal sides called?,Isosceles triangle
Which metal is used to make the filament of an electric bulb?,Tungsten
How many consonants are there in the English alphabet?,73
Trout and Carp are types of _________.,Fish/strong>
A polygon with 8 sides is called __________.,Octagon
Which organ purifies our blood?,Kidney
The animal with a hump on its back is _?,Camel
The brain of a computer is _.,CPU
The largest continent is _.,Asia
Who wrote ‘Ramayana’?,Valmiki
How many bones are there in a newborn baby?,300
Martyrs’ Day is celebrated every year on _.,30th January
The fastest animal on earth is?,Cheetah
Earth Day celebrated on?,April 22nd
The National Tree of India is?,Banyan Tree
Which is the tallest animal in the world?,Giraffe
What is the full form of RAM?,Random Access Memory
Who wrote ‘Discovery of India’?,Jawaharlal Nehru
Which is the tallest statue in the world?,"The Statue of Unity, India"
Young one of the horses is called?,Colt
How many players are there in a cricket team?,11
How many days does earth take to revolve around the sun?,365 days
The biggest sea animal is _.,Dolphin
Which is the largest desert in India?,Thar desert
Which is the densest jungle in the world?,Amazon
When is Teacher’s Day celebrated?,September 5th
A place where bees are kept is called _.,Aviary
How many sides are there in a pentagon?,Five
Which is the smallest state in India?,Goa
Who is the father of our Nation?,Mahatma Gandhi
Which is the 4th planet of our solar system?,Mars
Which is the largest river in the world?,Amazon
Name a plant that grows in the desert?,Cactus
